	group	names	scores	logfoldchanges	pvals	pvals_adj
10036	Stele	AT1G32100	13.866053	1.4635669	1.0172328675176298e-43	8.619377914290806e-42
10037	Stele	AT4G23690	13.726724	0.8033669	7.02383308136758e-43	5.803285859434559e-41
10038	Stele	AT3G21240	13.666632	1.6677686	1.6066158462815136e-42	1.3180494736084065e-40
10039	Stele	AT4G34600	13.640196	4.35541	2.3093866679402523e-42	1.8812993077041697e-40
10040	Stele	AT1G65960	13.611178	1.3413352	3.436568257681357e-42	2.780028057093661e-40
10041	Stele	AT5G24760	13.540374	2.2356915	9.032825791130333e-42	7.2067050306760465e-40
10042	Stele	AT3G53020	13.372447	1.3473486	8.761098939459537e-41	6.825719264343357e-39
10043	Stele	AT5G59090	13.296565	3.753255	2.423495983708006e-40	1.8631227236340655e-38
10044	Stele	AT3G27030	13.270231	4.327744	3.4451642471788544e-40	2.639814466229421e-38
10045	Stele	AT2G30520	13.181107	1.1947341	1.1272543888981189e-39	8.580808244933649e-38
10046	Stele	AT1G12000	13.152895	2.0199125	1.6378124465725123e-39	1.2345808951972084e-37
10047	Stele	AT5G02960	13.1287365	1.4813724	2.2538444418167744e-39	1.6934468092446617e-37
10048	Stele	AT1G44800	13.127129	6.5730886	2.3022209823042855e-39	1.7242149853599546e-37
10049	Stele	AT3G10340	13.071934	3.614511	4.763897709094526e-39	3.5449811894887052e-37
10050	Stele	AT1G60710	13.0141	1.3512533	1.017341442450292e-38	7.522170786423067e-37
10051	Stele	AT1G48850	12.931836	1.4841944	2.9762642170062816e-38	2.1526456799450106e-36
10052	Stele	AT4G39260	12.887754	1.4003929	5.275751795943772e-38	3.7804669582230416e-36
10053	Stele	AT5G51780	12.790919	1.8200624	1.8428081443768192e-37	1.316445436553742e-35
10054	Stele	AT4G27090	12.678614	1.3737216	7.769349323436587e-37	5.466090401279614e-35
10055	Stele	AT3G23810	12.445025	1.4449717	1.488366775699061e-35	1.0284348640299138e-33
10056	Stele	AT2G22860	12.440342	3.4308062	1.5782748633443792e-35	1.0841067308362855e-33
10057	Stele	AT2G30870	12.268427	0.5691833	1.3382855145137142e-34	8.902858106150402e-33
10058	Stele	AT4G09320	12.152846	1.485555	5.540288053846526e-34	3.573024104059856e-32
10059	Stele	AT1G06550	12.122849	1.3515196	7.993096938745817e-34	5.140601984123591e-32
10060	Stele	AT2G04800	12.100279	3.345046	1.0525244669786576e-33	6.731807314006473e-32
10061	Stele	AT1G14320	12.08572	1.1935965	1.2566413038259814e-33	7.993271548199401e-32
10062	Stele	ATCG00790	12.068321	1.2727083	1.552702300111045e-33	9.849477951278178e-32
10063	Stele	AT1G77020	11.999626	4.3650985	3.569050340234012e-33	2.23953085808684e-31
10064	Stele	AT1G07770	11.953985	1.517363	6.188466364192515e-33	3.8623017090714412e-31
10065	Stele	AT1G33470	11.873605	2.9944842	1.623198487577348e-32	1.0076416921412644e-30
10066	Stele	AT2G44670	11.811945	1.3663538	3.3863680699140626e-32	2.090992220191351e-30
10067	Stele	AT2G34480	11.763663	1.5050627	6.006991288259855e-32	3.68953218887643e-30
10068	Stele	AT4G36990	11.679054	1.1569655	1.630999151033834e-31	9.938820810906174e-30
10069	Stele	AT5G40630	11.67717	2.62773	1.6675557355005485e-31	1.0134984688773885e-29
10070	Stele	AT4G33865	11.659721	1.2291828	2.047107794785944e-31	1.2344857577024744e-29
10071	Stele	AT2G33830	11.657917	2.196592	2.0909446336572396e-31	1.2576544445497444e-29
10072	Stele	AT4G01850	11.602009	0.9410608	4.025180942262743e-31	2.4085728334153118e-29
10073	Stele	AT3G11940	11.568882	1.3116114	5.924949786393303e-31	3.5181472938796243e-29
10074	Stele	AT4G18100	11.53218	1.4737524	9.081455991796338e-31	5.378677646977947e-29
10075	Stele	AT4G17390	11.529155	1.6618629	9.406263452000559e-31	5.542772044799416e-29
10076	Stele	AT3G52930	11.478403	0.6499762	1.6937957897242735e-30	9.930519406572843e-29
10077	Stele	AT5G26730	11.421904	4.032268	3.2503685086727765e-30	1.8865951416463962e-28
10078	Stele	AT1G75500	11.333077	4.7238984	8.998628801111406e-30	5.1713159622624625e-28
10079	Stele	AT2G30400	11.275433	3.736704	1.7352338938546872e-29	9.850103988661191e-28
10080	Stele	AT4G22570	11.273581	4.955734	1.7721305547147992e-29	1.0035013436295973e-27
10081	Stele	AT3G60245	11.271781	1.1297995	1.8087437584928443e-29	1.021742185910666e-27
10082	Stele	AT2G43460	11.251136	1.5073155	2.286287093260284e-29	1.288367170976311e-27
10951	Xylem	AT4G23690	27.984133	6.903822	2.5346887596021062e-172	5.884786893168209e-168
10952	Xylem	AT5G59290	22.439713	6.2475953	1.6128662035232794e-111	9.361478661799994e-108
10953	Xylem	AT5G03170	21.176619	9.5776415	1.5690187826714339e-99	7.285581815456536e-96
10954	Xylem	AT3G56240	20.455713	5.122058	5.343560828276497e-93	2.0676908625015906e-89
10955	Xylem	AT5G56540	20.447521	5.0152116	6.320540915480258e-93	2.0963428347815022e-89
10956	Xylem	AT1G20850	20.353897	12.653207	4.287940813354921e-92	1.244414023295765e-88
10957	Xylem	AT1G12080	18.930597	4.56234	6.383552076019061e-80	1.6467436505437173e-76
10958	Xylem	AT5G15490	18.419573	4.7769966	9.152299210663294e-76	2.124889307739697e-72
10959	Xylem	AT1G55210	17.623692	3.5030487	1.620738570236607e-69	2.8945144142448695e-66
10960	Xylem	AT5G08370	17.18662	5.6716495	3.344653877586223e-66	5.546630648279953e-63
10961	Xylem	AT1G08283	17.093948	7.6765027	1.64637009184841e-65	2.548251628162969e-62
10962	Xylem	AT4G26320	16.28097	1.5623301	1.347168949434618e-59	1.8398365587660896e-56
10963	Xylem	AT4G35350	15.464758	11.24854	5.999838323945413e-54	6.964912318352033e-51
10964	Xylem	AT1G55330	14.989065	1.6260595	8.656293813685004e-51	9.57015111772975e-48
10965	Xylem	AT5G16490	14.802558	10.121454	1.4101558394796761e-49	1.4881630965999835e-46
10966	Xylem	AT5G49460	14.561748	3.2938848	4.918426303466739e-48	4.757962645316137e-45
